[2025-10-11 14:05:51,782] 16 root - INFO - initiate the data ingestion
[2025-10-11 14:05:53,662] 57 root - INFO - performed train test split
[2025-10-11 14:05:53,662] 58 root - INFO - exited split data as train tes method of data ingestion class
[2025-10-11 14:05:53,662] 61 root - INFO - exporting train and test file path
[2025-10-11 14:05:53,734] 69 root - INFO - exported train and test file path
[2025-10-11 14:05:53,735] 18 root - INFO - data initiation completed
[2025-10-11 14:05:53,739] 22 root - INFO - initiate daata validation
[2025-10-11 14:05:53,800] 32 root - INFO - requireed numb of columns:31
[2025-10-11 14:05:53,800] 33 root - INFO - data frame has coloumns:31
[2025-10-11 14:05:53,800] 32 root - INFO - requireed numb of columns:31
[2025-10-11 14:05:53,801] 33 root - INFO - data frame has coloumns:31
[2025-10-11 14:05:53,981] 24 root - INFO - data validation compeleted
[2025-10-11 14:05:53,981] 28 root - INFO - data transformation started
[2025-10-11 14:05:53,981] 52 root - INFO - entered initiaate transforamation method class
[2025-10-11 14:05:53,981] 55 root - INFO - data transformation started
[2025-10-11 14:05:54,046] 40 root - INFO - entered get data transformer object method of transformation class
[2025-10-11 14:05:54,046] 43 root - INFO - initailiose with  parameter
[2025-10-11 14:05:54,059] 43 root - INFO - Entered the save_object method of main_utils class
[2025-10-11 14:05:54,061] 47 root - INFO - Exited the save_object method of main_utils class
[2025-10-11 14:05:54,063] 32 root - INFO - dat transmission srtarted
[2025-10-11 14:09:31,254] 43 root - INFO - Entered the save_object method of main_utils class
[2025-10-11 14:09:31,279] 47 root - INFO - Exited the save_object method of main_utils class
[2025-10-11 14:09:31,279] 89 root - INFO - model trainer artiactModelTrainerArtifact(trained_model_file_path='Artifacts\\10_11_2025_14_05_50\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_Score=0.9911540416878495, precision_score=0.9892429470265882, recall_score=0.9930725346373268), test_metric_artifact=ClassificationMetricArtifact(f1_Score=0.9911540416878495, precision_score=0.9892429470265882, recall_score=0.9930725346373268))
[2025-10-11 14:09:31,281] 36 root - INFO - model training artifact created
