[2025-10-10 14:40:32,149] 15 root - INFO - initiate the data ingestion
[2025-10-10 14:40:34,124] 57 root - INFO - performed train test split
[2025-10-10 14:40:34,125] 58 root - INFO - exited split data as train tes method of data ingestion class
[2025-10-10 14:40:34,125] 61 root - INFO - exporting train and test file path
[2025-10-10 14:40:34,192] 69 root - INFO - exported train and test file path
[2025-10-10 14:40:34,192] 17 root - INFO - data initiation completed
[2025-10-10 14:40:34,197] 21 root - INFO - initiate daata validation
[2025-10-10 14:40:34,254] 32 root - INFO - requireed numb of columns:31
[2025-10-10 14:40:34,254] 33 root - INFO - data frame has coloumns:31
[2025-10-10 14:40:34,254] 32 root - INFO - requireed numb of columns:31
[2025-10-10 14:40:34,254] 33 root - INFO - data frame has coloumns:31
[2025-10-10 14:40:34,407] 23 root - INFO - data validation compeleted
[2025-10-10 14:40:34,407] 27 root - INFO - data transformation started
[2025-10-10 14:40:34,407] 52 root - INFO - entered initiaate transforamation method class
[2025-10-10 14:40:34,407] 55 root - INFO - data transformation started
[2025-10-10 14:40:34,466] 40 root - INFO - entered get data transformer object method of transformation class
[2025-10-10 14:40:34,466] 43 root - INFO - initailiose with  parameter
[2025-10-10 14:40:34,479] 39 root - INFO - Entered the save_object method of main_utils class
[2025-10-10 14:40:34,482] 43 root - INFO - Exited the save_object method of main_utils class
[2025-10-10 14:40:34,483] 31 root - INFO - dat transmission srtarted
