[2025-10-10 14:38:55,643] 15 root - INFO - initiate the data ingestion
[2025-10-10 14:38:57,559] 57 root - INFO - performed train test split
[2025-10-10 14:38:57,559] 58 root - INFO - exited split data as train tes method of data ingestion class
[2025-10-10 14:38:57,560] 61 root - INFO - exporting train and test file path
[2025-10-10 14:38:57,632] 69 root - INFO - exported train and test file path
[2025-10-10 14:38:57,632] 17 root - INFO - data initiation completed
[2025-10-10 14:38:57,639] 21 root - INFO - initiate daata validation
[2025-10-10 14:38:57,705] 32 root - INFO - requireed numb of columns:31
[2025-10-10 14:38:57,705] 33 root - INFO - data frame has coloumns:31
[2025-10-10 14:38:57,706] 32 root - INFO - requireed numb of columns:31
[2025-10-10 14:38:57,708] 33 root - INFO - data frame has coloumns:31
[2025-10-10 14:38:57,878] 23 root - INFO - data validation compeleted
[2025-10-10 14:38:57,878] 27 root - INFO - data transformation started
[2025-10-10 14:38:57,878] 52 root - INFO - entered initiaate transforamation method class
[2025-10-10 14:38:57,878] 55 root - INFO - data transformation started
[2025-10-10 14:38:57,947] 40 root - INFO - entered get data transformer object method of transformation class
[2025-10-10 14:38:57,947] 43 root - INFO - initailiose with  parameter
[2025-10-10 14:38:57,963] 39 root - INFO - eneted te save object metjhod of main util class
