[2025-10-11 14:00:02,626] 16 root - INFO - initiate the data ingestion
[2025-10-11 14:00:04,668] 57 root - INFO - performed train test split
[2025-10-11 14:00:04,668] 58 root - INFO - exited split data as train tes method of data ingestion class
[2025-10-11 14:00:04,668] 61 root - INFO - exporting train and test file path
[2025-10-11 14:00:04,735] 69 root - INFO - exported train and test file path
[2025-10-11 14:00:04,735] 18 root - INFO - data initiation completed
[2025-10-11 14:00:04,741] 22 root - INFO - initiate daata validation
[2025-10-11 14:00:04,802] 32 root - INFO - requireed numb of columns:31
[2025-10-11 14:00:04,802] 33 root - INFO - data frame has coloumns:31
[2025-10-11 14:00:04,802] 32 root - INFO - requireed numb of columns:31
[2025-10-11 14:00:04,802] 33 root - INFO - data frame has coloumns:31
[2025-10-11 14:00:04,980] 24 root - INFO - data validation compeleted
[2025-10-11 14:00:04,980] 28 root - INFO - data transformation started
[2025-10-11 14:00:04,980] 52 root - INFO - entered initiaate transforamation method class
[2025-10-11 14:00:04,980] 55 root - INFO - data transformation started
[2025-10-11 14:00:05,040] 40 root - INFO - entered get data transformer object method of transformation class
[2025-10-11 14:00:05,040] 43 root - INFO - initailiose with  parameter
[2025-10-11 14:00:05,053] 43 root - INFO - Entered the save_object method of main_utils class
[2025-10-11 14:00:05,055] 47 root - INFO - Exited the save_object method of main_utils class
[2025-10-11 14:00:05,057] 32 root - INFO - dat transmission srtarted
